Time,MotorVoltage,SupplyVoltage,
2694.7854,-0.12,12.325,
2694.7894,-0.12,12.325,
2694.7932,-0.12,12.325,
2694.7974,-0.12,12.325,
2694.8013,-0.12,12.325,
2694.8056,-0.12,12.325,
2694.8094,-0.12,12.325,
2694.8135,-0.12,12.325,
2694.8174,-0.12,12.325,
2694.8214,-0.12,12.325,
2694.8254,-0.12,12.325,
2694.8294,-0.12,12.325,
2694.8334,-0.12,12.325,
2694.8374,-0.12,12.325,
2694.8414,-0.12,12.325,
2694.8414,-0.12,12.325,
2694.8454,-0.12,12.325,
2694.8494,-0.12,12.325,
2694.8534,-0.12,12.325,
2694.8574,-0.12,12.325,
2694.8612,-0.12,12.325,
2694.8655,-0.12,12.325,
2694.8694,-0.12,12.325,
2694.8734,-0.12,12.325,
2694.8773,-0.12,12.325,
2694.8812,-0.12,12.325,
2694.8856,-0.12,12.325,
2694.8894,-0.12,12.325,
2694.8935,-0.12,12.325,
2694.8974,-0.12,12.325,
2694.9012,-0.12,12.325,
2694.9012,-0.12,12.325,
2694.9055,-0.12,12.325,
2694.9094,-0.12,12.325,
2694.9134,-0.12,12.325,
2694.9174,-0.12,12.325,
2694.9214,-0.12,12.325,
2694.9254,-0.12,12.325,
2694.9295,-0.12,12.325,
2694.9335,-0.12,12.325,
2694.9375,-0.12,12.325,
2694.9414,-0.12,12.325,
2694.9455,-0.12,12.325,
2694.9494,-0.12,12.325,
2694.9535,-0.12,12.325,
2694.9574,-0.12,12.325,
2694.9612,-0.12,12.325,
2694.9654,-0.12,12.325,
2694.9654,-0.12,12.325,
2694.9694,-0.12,12.325,
2694.9734,-0.12,12.325,
2694.9775,-0.12,12.325,
2694.9814,-0.12,12.325,
2694.9855,-0.12,12.325,
2694.9894,-0.12,12.325,
2694.9933,-0.12,12.325,
2694.9974,-0.12,12.325,
2695.0015,-0.12,12.325,
2695.0052,-0.12,12.325,
2695.0092,-0.12,12.325,
2695.0135,-0.12,12.325,
2695.0173,-0.12,12.325,
2695.0173,-0.12,12.325,
2695.0214,-0.12,12.325,
2695.0254,-0.12,12.325,
2695.0294,-0.12,12.325,
2695.0334,-0.12,12.325,
2695.0374,-0.12,12.325,
2695.0415,-0.12,12.325,
2695.0452,-0.12,12.325,
2695.0494,-0.12,12.325,
2695.0534,-0.12,12.325,
2695.0574,-0.12,12.325,
2695.0615,-0.12,12.325,
2695.0654,-0.12,12.325,
2695.0694,-0.12,12.325,
2695.0734,-0.12,12.325,
2695.0774,-0.12,12.325,
2695.0774,-0.12,12.325,
2695.0814,-0.12,12.325,
2695.0852,-0.12,12.325,
2695.0894,-0.12,12.325,
2695.0934,-0.12,12.325,
2695.0974,-0.12,12.325,
2695.1014,-0.12,12.325,
2695.1052,-0.12,12.325,
2695.1095,-0.12,12.325,
2695.1135,-0.12,12.325,
2695.1173,-0.12,12.325,
2695.1212,-0.12,12.325,
2695.1254,-0.12,12.325,
2695.1294,-0.12,12.325,
2695.1334,-0.12,12.325,
2695.1374,-0.12,12.325,
2695.1414,-0.12,12.325,
2695.1414,-0.12,12.325,
2695.1455,-0.12,12.325,
2695.1494,-0.12,12.325,
2695.1533,-0.12,12.325,
2695.1574,-0.12,12.325,
2695.1612,-0.12,12.325,
2695.1654,-0.12,12.325,
2695.1692,-0.12,12.325,
2695.1735,-0.12,12.325,
2695.1774,-0.12,12.325,
2695.1813,-0.12,12.325,
2695.1854,-0.12,12.325,
2695.1894,-0.12,12.325,
2695.1933,-0.12,12.325,
2695.1974,-0.12,12.325,
2695.2014,-0.12,12.325,
2695.2014,-0.12,12.325,
2695.2054,-0.12,12.325,
2695.2092,-0.12,12.325,
2695.2134,-0.12,12.325,
2695.2173,-0.12,12.325,
2695.2214,-0.12,12.325,
2695.2253,-0.12,12.325,
2695.2294,-0.12,12.325,
2695.2335,-0.12,12.325,
2695.2374,-0.12,12.325,
2695.2414,-0.12,12.325,
2695.2454,-0.12,12.325,
2695.2494,-0.12,12.325,
2695.2534,-0.12,12.325,
2695.2574,-0.12,12.325,
2695.2615,-0.12,12.325,
2695.2652,-0.12,12.325,
2695.2652,-0.12,12.325,
2695.2694,-0.12,12.325,
2695.2733,-0.12,12.325,
2695.2774,-0.12,12.325,
2695.2811,-0.12,12.325,
2695.2855,-0.12,12.325,
2695.2894,-0.12,12.325,
2695.2933,-0.12,12.325,
2695.2974,-0.12,12.325,
2695.3013,-0.12,12.325,
2695.3054,-0.12,12.325,
2695.3094,-0.12,12.325,
2695.3134,-0.12,12.325,
2695.3174,-0.12,12.325,
2695.3174,-0.12,12.325,
2695.3214,-0.12,12.325,
2695.3254,-0.12,12.325,
2695.3293,-0.12,12.325,
2695.3333,-0.12,12.325,
2695.3374,-0.12,12.325,
2695.3414,-0.12,12.325,
2695.3455,-0.12,12.325,
2695.3494,-0.12,12.325,
2695.3533,-0.12,12.325,
2695.3571,-0.12,12.325,
2695.3613,-0.12,12.325,
2695.3653,-0.12,12.325,
2695.3692,-0.12,12.325,
2695.3734,-0.12,12.325,
2695.3774,-0.12,12.325,
2695.3774,-0.12,12.325,
2695.3813,-0.12,12.325,
2695.3855,-0.12,12.325,
2695.3894,-0.12,12.325,
2695.3935,-0.12,12.325,
2695.3974,-0.12,12.325,
